COD,POP,OB_Tot,OB_Tot_Tax,Tx_analf
355720,12418,12418,"5,878563376","8,3"
351190,8472,8472,"3,777148253","8,1"
351200,18398,18398,"4,23959126",6
351210,6203,6203,"5,642431082","9,5"
351220,27820,27820,"4,24155284","10,4"
351230,17770,17770,"3,77039955",6
351240,24221,24221,"3,09648652","4,1"
351250,5986,5986,"5,345806883","5,3"
351260,4728,4728,"4,653130288","12,4"
351270,4047,4047,"5,930318755","7,5"
351280,70998,70998,"2,957829798","4,9"
351290,7316,7316,"4,920721706","8,3"
351300,244694,244694,"3,845619427","4,2"
351310,34998,34998,"3,743071033","5,4"
351320,8541,8541,"3,04414003","7,8"
351330,2100,2100,"3,333333333",7
351340,81895,81895,"5,165150498","2,7"
351350,129760,129760,"3,999691739","5,6"
351360,21639,21639,"4,667498498","9,7"
351370,33520,33520,"3,997613365","4,9"
351380,420934,420934,"3,582509372","4,1"
351385,1786,1786,"3,359462486","12,7"
351390,11208,11208,"4,371877231",6
351400,8846,8846,"2,939181551","13,7"
351410,27112,27112,"4,167896135","7,4"
351420,2119,2119,"3,775365739","11,9"
351430,8868,8868,"5,97654488","6,9"
351440,46536,46536,"4,469657899","5,8"
351450,12457,12457,"4,816568997","6,4"
351460,9708,9708,"3,605274001",8
351470,6141,6141,"5,210877707","10,6"
351480,15443,15443,"3,75574694","11,1"
